team,squad_size,shared_club_pairs,max_players_from_same_club,shared_pair_ratio
Algeria,26,2,2,0.006
Argentina,26,19,6,0.058
Australia,26,5,3,0.015
Austria,25,4,2,0.013
Belgium,26,10,3,0.031
Bosnia and Herzegovina,26,2,2,0.006
Brazil,26,9,4,0.028
Canada,25,5,3,0.017
Cape Verde,26,0,1,0.0
Colombia,26,2,2,0.006
Croatia,26,2,2,0.006
Curaçao,26,4,2,0.012
Czech Republic,26,54,10,0.166
DR Congo,26,2,2,0.006
Ecuador,26,4,3,0.012
Egypt,26,35,8,0.108
England,26,18,4,0.055
France,26,14,5,0.043
Germany,26,34,7,0.105
Ghana,26,4,3,0.012
Haiti,26,1,2,0.003
Iran,26,20,4,0.062
Iraq,26,10,4,0.031
Ivory Coast,26,1,2,0.003
Japan,26,3,2,0.009
Jordan,26,22,6,0.068
Mexico,26,11,5,0.034
Morocco,26,3,2,0.009
Netherlands,26,8,3,0.025
New Zealand,26,13,5,0.04
Norway,26,5,3,0.015
Panama,26,3,2,0.009
Paraguay,26,5,3,0.015
Portugal,26,14,4,0.043
Qatar,26,40,6,0.123
Saudi Arabia,26,46,7,0.142
Scotland,26,4,2,0.012
Senegal,26,4,2,0.012
South Africa,26,56,8,0.172
South Korea,26,5,3,0.015
Spain,26,37,8,0.114
Sweden,26,0,1,0.0
Switzerland,26,2,2,0.006
Tunisia,26,2,2,0.006
Turkey,26,30,6,0.092
United States,26,2,2,0.006
Uruguay,26,5,3,0.015
Uzbekistan,26,13,3,0.04
