date,team,total_value,avg_value,median_value,n_players
2022-09-01,Spain,5108480000.0,4752074.4186046515,1600000.0,1075
2022-09-01,France,4526415000.0,4724859.081419624,1300000.0,958
2022-09-01,Brazil,4174960000.0,5790513.176144244,2100000.0,721
2022-09-01,England,4006155000.0,2448750.0,687500.0,1636
2022-09-01,Germany,3477595000.0,2883577.9436152573,937500.0,1206
2022-09-01,Argentina,2879500000.0,3363901.8691588785,1500000.0,856
2022-09-01,Portugal,2441975000.0,6477387.267904509,1900000.0,377
2022-09-01,Netherlands,1946870000.0,4434783.599088838,1300000.0,439
2022-09-01,Belgium,1242390000.0,3931613.924050633,1300000.0,316
2022-09-01,Uruguay,857555000.0,3603172.268907563,1500000.0,238
2022-09-01,Croatia,780865000.0,4761371.951219512,1600000.0,164
2022-09-01,Norway,696645000.0,1935125.0,750000.0,360
2022-09-01,Colombia,694590000.0,2835061.224489796,1500000.0,245
2022-09-01,Austria,665895000.0,2320191.637630662,975000.0,287
2022-09-01,USA,613415000.0,1545125.944584383,575000.0,397
2022-09-01,Switzerland,593700000.0,2723394.4954128442,900000.0,218
2022-09-01,Türkiye,590720000.0,2132563.176895307,900000.0,277
2022-09-01,Senegal,539210000.0,3935839.416058394,1300000.0,137
2022-09-01,Sweden,526515000.0,1446469.7802197803,675000.0,364
2022-09-01,Morocco,485370000.0,4412454.545454546,1800000.0,110
2022-09-01,Scotland,484990000.0,1763600.0,725000.0,275
2022-09-01,Côte d'Ivoire,461830000.0,4810729.166666667,1900000.0,96
2022-09-01,Czechia,434235000.0,4386212.121212121,2400000.0,99
2022-09-01,Ghana,365255000.0,2788206.106870229,1500000.0,131
2022-09-01,Korea Republic,355095000.0,1187608.6956521738,475000.0,299
2022-09-01,Japan,303295000.0,3839177.2151898732,1600000.0,79
2022-09-01,Algeria,275065000.0,4662118.644067797,1600000.0,59
2022-09-01,Ecuador,264850000.0,1624846.6257668713,850000.0,163
2022-09-01,Paraguay,258230000.0,1434611.111111111,825000.0,180
2022-09-01,Mexico,231280000.0,5506666.666666667,1950000.0,42
2022-09-01,Australia,205075000.0,709602.0761245674,425000.0,289
2022-09-01,Canada,184425000.0,2305312.5,737500.0,80
2022-09-01,Saudi Arabia,168630000.0,493070.1754385965,275000.0,342
2022-09-01,Egypt,158890000.0,13240833.333333334,4750000.0,12
2022-09-01,Bosnia and Herzegovina,140890000.0,2387966.1016949154,1300000.0,59
2022-09-01,Congo DR,116175000.0,2471808.510638298,1600000.0,47
2022-09-01,South Africa,109500000.0,1288235.294117647,1200000.0,85
2022-09-01,IR Iran,72620000.0,4538750.0,1650000.0,16
2022-09-01,Tunisia,68450000.0,2139062.5,1450000.0,32
2022-09-01,Cabo Verde,53425000.0,1908035.7142857143,1400000.0,28
2022-09-01,New Zealand,33060000.0,1001818.1818181818,700000.0,33
2022-09-01,Panama,17140000.0,2142500.0,2050000.0,8
2022-09-01,Curaçao,13925000.0,994642.8571428572,750000.0,14
2022-09-01,Uzbekistan,11350000.0,2837500.0,2000000.0,4
2022-09-01,Haiti,9350000.0,935000.0,787500.0,10
2022-09-01,Iraq,9190000.0,919000.0,737500.0,10
2022-09-01,Jordan,2210000.0,1105000.0,1105000.0,2
2022-09-01,Qatar,0.0,,,0
