venue_id,name,city,country,lat,lng,altitude_m
1,Atlanta Stadium,Atlanta,United States,33.772476,-84.3929589,290.0
2,BC Place Vancouver,Vancouver,Canada,49.2766905,-123.1120062,11.0
3,Boston Stadium,Foxborough,United States,42.0909274,-71.264351,83.0
4,Dallas Stadium,Dallas,United States,32.7796119,-96.7596025,149.0
5,Guadalajara Stadium,,,,,
6,Houston Stadium,Houston,United States,29.6848581,-95.4108015,15.0
7,Kansas City Stadium,Kansas City,United States,39.0489358,-94.4839993,273.0
8,Los Angeles Stadium,Pasadena,United States,34.1613492,-118.1676674,247.0
9,Mexico City Stadium,Mexico City,Mexico,19.3029794,-99.15047,2287.0
10,Miami Stadium,Miami,United States,25.7813595,-80.1879435,12.0
11,Monterrey Stadium,Monterrey,Mexico,25.7006158,-100.3159938,549.0
12,New York/New Jersey Stadium,New Jersey,United States,40.8135071,-74.0743442,9.0
13,Philadelphia Stadium,Philadelphia,United States,39.9437233,-75.1937425,1.0
14,San Francisco Bay Area Stadium,Santa Clara,United States,37.4029867,-121.9696489,1.0
15,Seattle Stadium,Seattle,United States,47.5911108,-122.3271829,3.0
16,Toronto Stadium,Toronto,Canada,43.6333414,-79.4185614,85.0
