exp_id,date,module,model,features_desc,n_train,logloss_test,brier_test,rps_test,acc_test,ece_test,beats_baseline,decision,notes
m1_davidson,2026-06-11,m1_elo_davidson,elo_davidson,per-match elo only,34497,0.8682,,,,,yes,KEEP,nu=0.705 H=142 coverage=1.000
m0_elo_only_v2,2026-06-11,m0_baseline_sanity,elo_only,classification_dataset_v2.csv (44 feats),34497,0.8812,0.5175,,0.6026,,no,LOG,
m0_logreg_v2,2026-06-11,m0_baseline_sanity,logreg,classification_dataset_v2.csv (44 feats),34497,0.8625,0.5060,,0.6065,,yes,LOG,
m0_histgb_v2,2026-06-11,m0_baseline_sanity,histgb,classification_dataset_v2.csv (44 feats),34497,0.8645,0.5074,,0.6046,,yes,LOG,
m0_blend_raw_v2,2026-06-11,m0_baseline_sanity,blend_raw,classification_dataset_v2.csv (44 feats),34497,0.8591,0.5044,,0.6063,,yes,LOG,
m0_blend_cal_v2,2026-06-11,m0_baseline_sanity,blend_cal,classification_dataset_v2.csv (44 feats),34497,0.8598,0.5040,,0.6067,,yes,LOG,
market_closing,2026-06-11,f2_market_benchmark,bookmaker_closing,228 intl matches WC18/22 Euro20/24 Copa21,,0.8219,,,,,n/a,BENCHMARK,the honest ceiling on big tournaments
m4_dixon_coles,2026-06-12,m4_dixon_coles,dixon_coles,team att/def + decay xi=0.0019,24781,0.9143,,,,,no,KEEP,rho fitted; goal calib h x0.96 a x1.02
m6_stack_cal,2026-06-12,m6_stack,stack(dav+dc+lr+gb)+temp,v2 features,34497,0.8574,0.5033,,0.6065,,yes,KEEP,T=1.099 raw=0.8563
PENS_logistic,2026-06-12,m8_simulate,penalty_logistic,shootouts.csv 572 joined,572,,,,,,KEEP,logistic p=sigmoid(0.0185+0.6265*|elo|/400); shift<1pp
m9_entropy,2026-06-12,m9_entropy,entropy_engine,davidson+dixon sources,44563,,,,,,KEEP,8 WC tournaments 1994-2022; 2022 most chaotic
BT22,2026-06-12,bt_backtest,blend_0.5dc_0.5dav,wc2022 freeze,64,1.0513,,,,,yes,KEEP,Argentina rank=2 P=24.8%; market=0.7273089186922294
m10_scorers,2026-06-12,m10_scorers,scorer_heuristic,official_squads_2026,1249,,,,,,KEEP,top=Harry Kane (captain) E=1.06
m0_elo_only_v2,2026-06-12,m0_baseline_sanity,elo_only,classification_dataset_v2.csv (47 feats),34497,0.8812,0.5175,,0.6026,,no,LOG,
m0_logreg_v2,2026-06-12,m0_baseline_sanity,logreg,classification_dataset_v2.csv (47 feats),34497,0.8625,0.5060,,0.6065,,yes,LOG,
m0_histgb_v2,2026-06-12,m0_baseline_sanity,histgb,classification_dataset_v2.csv (47 feats),34497,0.8645,0.5074,,0.6046,,yes,LOG,
m0_blend_raw_v2,2026-06-12,m0_baseline_sanity,blend_raw,classification_dataset_v2.csv (47 feats),34497,0.8591,0.5044,,0.6063,,yes,LOG,
m0_blend_cal_v2,2026-06-12,m0_baseline_sanity,blend_cal,classification_dataset_v2.csv (47 feats),34497,0.8598,0.5040,,0.6067,,yes,LOG,
m6_stack_cal,2026-06-12,m6_stack,stack(dav+dc+lr+gb)+temp,v2 features,34497,0.8574,0.5033,,0.6065,,yes,KEEP,T=1.099 raw=0.8563
m0_elo_only_v2,2026-06-12,m0_baseline_sanity,elo_only,classification_dataset_v2.csv (47 feats),34497,0.8812,0.5175,,0.6026,,no,LOG,
m0_logreg_v2,2026-06-12,m0_baseline_sanity,logreg,classification_dataset_v2.csv (47 feats),34497,0.8619,0.5056,,0.6068,,yes,LOG,
m0_histgb_v2,2026-06-12,m0_baseline_sanity,histgb,classification_dataset_v2.csv (47 feats),34497,0.8632,0.5066,,0.6053,,yes,LOG,
m0_blend_raw_v2,2026-06-12,m0_baseline_sanity,blend_raw,classification_dataset_v2.csv (47 feats),34497,0.8582,0.5039,,0.6071,,yes,LOG,
m0_blend_cal_v2,2026-06-12,m0_baseline_sanity,blend_cal,classification_dataset_v2.csv (47 feats),34497,0.8589,0.5034,,0.6075,,yes,LOG,
m6_stack_cal,2026-06-12,m6_stack,stack(dav+dc+lr+gb)+temp,v2 features,34497,0.8569,0.5031,,0.6067,,yes,KEEP,T=1.099 raw=0.8558
ELO-HOST,2026-06-12,m1b_host_calib,host_bonus,wc host matches 1990-2022,47,0.8480,,,,,KEEP,host_bonus=14.1 nll_without=0.8485 nll_with=0.8480
PLR-FEAT,2026-06-13,p1_player_features,team_strength,sofascore_team_strength+player_career,48,,,,,,KEEP,top10=Spain,Germany,Argentina
PLR-MODEL,2026-06-13,p2_player_model,player_ensemble,squad_overall+top3_att+caps+heuristic_blend,104,,,,,,KEEP,top5=France,England,Austria
